voter_id,name,district,phone,password,has_voted
TN100000,Ravi,Kanchipuram,9266158761,1234,False
TN100001,Ravi,Ramanathapuram,9233223640,1234,False
TN100002,Anitha,Sivaganga,9790505718,1234,False
TN100003,Divya,Salem,9649637349,1234,False
TN100004,Ramesh,Trichy,9435162014,1234,False
TN100005,Nisha,Ranipet,9326560328,1234,False
TN100006,Ravi,Chennai,9638766997,1234,False
TN100007,Ravi,Dharmapuri,9741119431,1234,False
TN100008,Anitha,Dharmapuri,9281595839,1234,False
TN100009,Saravanan,Salem,9366942512,1234,False
TN100010,Meena,Tiruppur,9967851999,1234,False
TN100011,Ravi,Tirupattur,9470693552,1234,False
TN100012,Ravi,Tiruvannamalai,9283383801,1234,False
TN100013,Anand,Dindigul,9479955507,1234,False
TN100014,Rahul,Krishnagiri,9659130505,1234,False
TN100015,Nisha,Villupuram,9653586061,1234,False
TN100016,Saravanan,Tiruppur,9378281354,1234,False
TN100017,Ajith,Theni,9255579172,1234,False
TN100018,Meena,Tirupattur,9821165270,1234,False
TN100019,Arjun,Tenkasi,9910515925,1234,False
TN100020,Priya,Sivaganga,9544171046,1234,False
TN100021,Anand,Salem,9739931774,1234,False
TN100022,Karthik,Tiruppur,9753572755,1234,False
TN100023,Anand,Thanjavur,9228984717,1234,False
TN100024,Surya,Karur,9216492855,1234,False
TN100025,Rahul,Tiruvarur,9427774343,1234,False
TN100026,Rahul,Thoothukudi,9352315414,1234,False
TN100027,Ajith,Kanchipuram,9645081020,1234,False
TN100028,Priya,Tenkasi,9696708062,1234,False
TN100029,Lakshmi,Villupuram,9802655538,1234,False
TN100030,Kumar,Tirupattur,9850914916,1234,False
TN100031,Kumar,Vellore,9657800938,1234,False
TN100032,Surya,Kanniyakumari,9991984840,1234,False
TN100033,Ramesh,Chennai,9746741235,1234,False
TN100034,Vijay,Dharmapuri,9129025065,1234,False
TN100035,Karthik,Tirunelveli,9317820233,1234,False
TN100036,Ravi,Erode,9601313574,1234,False
TN100037,Ramesh,Namakkal,9732923559,1234,False
TN100038,Ajith,Kanchipuram,9604321848,1234,False
TN100039,Vijay,Ranipet,9716732147,1234,False
TN100040,Lakshmi,Villupuram,9623249991,1234,False
TN100041,Priya,Perambalur,9279100424,1234,False
TN100042,Ravi,Tiruppur,9859540985,1234,False
TN100043,Harish,Kallakurichi,9693037126,1234,False
TN100044,Vijay,Tirupattur,9399793547,1234,False
TN100045,Ramesh,Tiruvallur,9973200985,1234,False
TN100046,Meena,Vellore,9561641600,1234,False
TN100047,Kumar,Kanchipuram,9930616858,1234,False
TN100048,Anand,Nagapattinam,9794958542,1234,False
TN100049,Meena,Karur,9330087175,1234,False
TN100050,Kumar,Krishnagiri,9993353688,1234,False
TN100051,Ajith,Thoothukudi,9517757699,1234,False
TN100052,Anand,Chennai,9551280468,1234,False
TN100053,Vijay,Krishnagiri,9940349503,1234,False
TN100054,Harish,Tiruvannamalai,9994284438,1234,False
TN100055,Meena,Karur,9873072236,1234,False
TN100056,Anand,Ranipet,9787267031,1234,False
TN100057,Priya,Tirunelveli,9594702613,1234,False
TN100058,Karthik,Chennai,9149488217,1234,False
TN100059,Arjun,Tiruvannamalai,9162819222,1234,False
TN100060,Suresh,Tiruvarur,9567014141,1234,False
TN100061,Kumar,Tirunelveli,9558025904,1234,False
TN100062,Priya,Tiruvarur,9263583247,1234,False
TN100063,Priya,Karur,9353936294,1234,False
TN100064,Harish,Tiruvannamalai,9805428650,1234,False
TN100065,Anitha,Dharmapuri,9548968095,1234,False
TN100066,Surya,Tirunelveli,9715201423,1234,False
TN100067,Priya,Thoothukudi,9280898066,1234,False
TN100068,Suresh,Virudhunagar,9532801069,1234,False
TN100069,Divya,Tirupattur,9639152572,1234,False
TN100070,Ajith,Dindigul,9894368988,1234,False
